['16A5M', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A, line2:5M, line3:, line4:}']
['16A10M1', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A, line2:10M, line3:, line4:}']
['16AGRELCO', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16A20M1', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A, line2:20M, line3:, line4:}']
['16A20M2', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A, line2:20M, line3:, line4:}']
['16A10M2', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A, line2:10M, line3:, line4:}']
['13ATO16A', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:, line2:, line3:, line4:}']
['10M', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:, line2:, line3:, line4:}']
['16A10M', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:, line2:, line3:, line4:}']
['16ATLINE1', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE2', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE3', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE4', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE5', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE6', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE7', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE8', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE9', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE10', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['13A4WAYT1', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 4X13A BLACK, line3:WITH 16A T-LINE, line4:}']
['16A4WAYT2', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WITH 16A T-LINE, line4:}']
['13A216A1', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:13A ADAPTERS, line2:13A TO 16A, line3:, line4:}']
['16ATLINE11', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16ATLINE12', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 2X16A, line3:WIRED 16A T-LINE GRE, line4:}']
['16A4WAY2', '{nulls:0, unknown:1, frequency:12}', '{mapping1:3, mapping2:4, mapping3:1, mapping4:0, meaning1:Make, meaning2:Model, meaning3:Asset Description, meaning4:Notes}', '{line1:16A ADAPTERS, line2:16A TO 4X13A WHITE, line3:, line4:}']
